Data Zone 2011,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure
S01012848,254,211,54,126,31,47,43,4,0,0
S01012849,356,145,22,70,49,215,215,0,0,0
S01012850,329,225,8,81,136,104,103,1,0,0
S01012851,380,313,57,121,137,67,66,1,0,0
S01012852,299,232,39,161,32,67,63,4,0,0
S01012853,342,319,20,268,31,16,13,3,0,1
S01012854,371,122,6,72,44,249,242,7,0,0
S01012855,265,111,6,70,35,153,130,16,0,0
S01012856,712,341,95,148,98,367,365,1,1,4
S01012857,456,121,8,85,32,330,325,1,0,4
S01012858,446,82,0,45,35,363,357,6,0,1
S01012859,542,177,37,73,70,329,325,6,0,36
S01012860,391,195,49,71,75,196,191,4,1,0
S01012861,319,167,29,61,77,152,140,11,2,0
