Intermediate Zone - Data Zone 2011,"Managers, Directors and Senior Officials - Total",Professional Occupations - Total,Associate Professional and Technical Occupations - Total,Administrative and Secretarial Occupations - Total,Skilled Trade Occupations - Total,"Caring, Leisure and Other Service Occupations - Total",Sales and Customer Service Occupations - Total,"Process, Plant and Machine Operatives - Total",Elementary Occupations - Total
S01006558,22,148,50,23,17,25,15,17,19
S01006559,26,111,46,21,10,25,22,6,7
S01006560,41,205,79,49,26,18,19,11,23
S01006561,33,175,53,21,28,23,15,9,15
S01006562,48,178,54,33,25,22,17,20,20
S01006563,38,177,49,38,26,47,22,9,35
S01006564,23,98,60,43,46,40,51,22,61
S01006565,16,81,64,33,31,47,30,19,79
S01006566,28,178,75,32,34,40,38,17,27
S01006567,19,96,63,27,26,25,33,23,68
S01006568,33,203,89,47,50,49,49,17,59
S01006569,23,111,43,24,14,22,12,8,21
S01006570,51,151,63,33,26,20,16,13,24
S01006571,63,195,79,53,36,35,33,15,38
S01006572,79,156,52,33,19,16,18,9,20
S01006573,61,165,50,27,18,16,10,16,12
S01006574,100,203,68,33,20,19,24,5,23
S01006575,59,200,73,36,40,29,19,13,23
S01006576,39,127,57,42,21,8,19,19,27
S01006577,40,178,83,37,24,32,23,18,32
S01006578,39,176,96,71,53,40,57,26,56
S01006579,38,167,97,46,30,41,49,33,52
S01006580,32,159,56,44,31,25,24,13,32
S01006581,63,151,67,44,19,15,22,14,23
S01006582,38,146,80,43,40,83,45,32,85
S01006583,21,110,64,45,41,66,66,22,84
S01006584,37,127,53,35,27,38,31,17,63
S01006585,25,79,48,42,48,65,51,34,90
S01006586,44,183,84,56,51,77,81,19,122
S01006587,14,72,37,30,43,53,50,21,76
S01006588,17,65,39,38,40,48,42,34,75
S01006589,16,55,41,23,51,50,46,31,82
S01006590,42,107,62,39,45,45,45,24,87
S01006591,36,97,71,41,44,50,30,28,51
S01006592,31,120,78,41,30,41,32,27,38
S01006593,20,127,70,36,32,37,26,12,47
S01006594,21,79,41,23,24,36,29,10,28
S01006595,31,181,105,59,42,29,32,24,60
S01006596,53,137,75,35,36,36,21,24,29
S01006597,20,74,54,39,21,35,30,14,37
S01006598,43,143,79,44,27,24,20,16,15
S01006599,19,73,51,45,34,48,38,37,59
S01006600,33,163,99,49,46,40,36,23,42
S01006601,37,144,84,67,45,29,26,25,48
S01006602,50,142,58,43,32,15,14,12,22
S01006603,9,48,17,39,55,33,27,29,52
S01006604,11,38,45,42,37,28,29,53,53
S01006605,17,33,35,31,32,44,31,39,49
S01006606,30,70,54,42,42,24,22,24,33
S01006607,24,46,47,53,61,47,43,50,64
S01006608,117,360,261,187,154,110,71,92,83
S01006609,22,55,61,58,61,44,42,41,87
S01006610,1,24,24,34,26,35,22,14,42
S01006611,15,54,49,49,56,50,45,47,82
S01006612,31,65,52,48,48,47,27,36,63
S01006613,27,58,43,40,31,24,10,24,22
S01006614,28,83,69,63,51,25,14,26,33
S01006615,50,96,71,49,54,36,21,33,25
S01006616,24,77,66,61,44,30,29,36,34
S01006617,29,68,61,51,52,32,21,34,36
S01006618,24,32,28,35,36,10,12,14,27
S01006619,31,75,54,54,73,35,27,26,37
S01006620,23,63,56,48,60,38,21,35,51
S01006621,10,44,38,32,39,21,27,23,24
S01006622,20,65,56,53,44,38,28,37,39
S01006623,22,58,60,61,64,57,51,44,72
S01006624,31,85,66,70,70,61,30,54,110
S01006625,15,34,38,25,52,27,19,27,53
S01006626,8,7,17,22,30,41,21,33,62
S01006627,24,41,52,25,43,56,46,43,93
S01006628,22,50,48,47,37,60,43,51,105
S01006629,16,28,31,27,50,33,34,55,80
S01006630,16,34,38,27,48,52,29,39,53
S01006631,10,50,44,32,48,49,39,59,87
S01006632,15,18,29,36,26,46,18,35,94
S01006633,7,27,20,22,31,44,21,41,87
S01006634,9,12,22,15,32,33,25,35,66
S01006635,14,28,34,27,48,32,23,43,55
S01006636,14,27,23,19,41,40,25,67,81
S01006637,18,66,48,26,34,41,28,34,42
S01006638,13,67,51,33,42,49,43,34,75
S01006639,21,68,34,38,50,44,48,41,104
S01006640,28,134,89,53,38,42,67,35,72
S01006641,31,131,65,44,53,61,69,29,120
S01006642,13,85,70,47,38,56,101,28,152
S01006643,23,77,50,29,43,32,36,24,55
S01006644,26,145,96,67,57,66,77,50,100
S01006645,16,25,24,23,25,37,33,28,79
S01006646,16,59,33,22,17,43,102,18,129
S01006647,22,37,24,26,31,37,37,27,74
S01006648,28,117,60,50,51,94,84,51,135
