Intermediate Zone - Data Zone 2011,"Managers, Directors and Senior Officials - Total",Professional Occupations - Total,Associate Professional and Technical Occupations - Total,Administrative and Secretarial Occupations - Total,Skilled Trade Occupations - Total,"Caring, Leisure and Other Service Occupations - Total",Sales and Customer Service Occupations - Total,"Process, Plant and Machine Operatives - Total",Elementary Occupations - Total
S01007063,25,56,47,28,54,28,20,27,27
S01007064,59,120,92,42,90,42,26,40,41
S01007065,26,56,47,27,60,29,18,22,32
S01007066,42,86,68,38,85,32,19,47,45
S01007067,25,30,32,15,41,17,17,29,26
S01007068,21,54,40,34,46,30,24,24,32
S01007069,30,49,61,37,63,43,27,43,58
S01007070,9,23,30,23,29,30,21,16,37
S01007071,23,72,46,47,65,53,33,42,49
S01007072,22,61,44,43,55,39,23,35,48
S01007073,32,51,70,41,50,31,35,58,84
S01007074,25,16,30,29,38,28,23,27,47
S01007075,21,34,25,29,58,41,44,42,56
S01007076,17,38,39,33,44,43,21,41,77
S01007077,17,43,46,31,43,29,27,36,42
S01007078,12,30,41,43,46,42,22,48,56
S01007079,23,41,57,32,60,49,32,61,68
S01007080,18,46,46,27,51,35,33,48,73
S01007081,15,27,28,21,58,36,49,44,81
S01007082,7,23,46,15,38,33,35,30,46
S01007083,16,27,36,25,70,49,46,78,103
S01007084,18,29,31,29,31,24,18,36,43
S01007085,25,52,48,32,49,54,43,60,106
S01007086,23,25,42,27,86,47,52,73,167
S01007087,10,30,34,28,55,58,21,68,96
S01007088,5,7,11,8,38,34,21,38,89
S01007089,24,45,43,33,28,23,10,17,21
S01007090,16,31,30,30,35,21,18,40,38
S01007091,21,39,50,48,73,55,45,51,70
S01007092,13,22,28,19,26,30,20,32,39
S01007093,23,59,44,45,76,35,22,61,55
S01007094,26,48,64,38,61,42,41,40,47
S01007095,26,47,43,18,50,32,25,29,29
S01007096,43,100,85,43,85,39,19,43,46
S01007097,89,226,196,156,222,103,72,103,107
S01007098,63,109,92,72,94,43,27,53,53
S01007099,48,60,77,44,78,40,34,43,46
S01007100,38,84,46,37,61,27,26,46,44
S01007101,17,24,31,24,75,35,26,55,59
S01007102,32,48,42,36,75,26,17,49,46
S01007103,32,40,60,39,68,32,27,46,48
S01007104,24,43,34,22,78,22,19,23,30
S01007105,13,31,32,26,46,22,24,22,25
S01007106,12,39,35,21,56,22,21,36,42
S01007107,42,53,51,26,72,33,28,47,39
S01007108,79,124,94,71,145,53,48,67,73
S01007109,18,31,27,26,58,36,43,68,73
S01007110,26,42,30,30,65,49,25,53,55
S01007111,19,20,29,16,37,25,16,24,32
S01007112,10,47,31,34,42,17,18,25,17
S01007113,25,56,31,21,36,23,15,19,31
S01007114,29,42,52,40,68,53,31,51,65
S01007115,9,41,32,23,46,21,28,24,41
S01007116,33,70,55,55,80,43,41,61,55
S01007117,15,34,25,26,34,15,6,15,21
S01007118,13,22,19,25,56,46,35,52,58
S01007119,13,20,30,19,55,29,39,32,57
S01007120,23,26,41,25,78,50,44,70,96
S01007121,8,26,18,14,37,26,13,41,44
S01007122,18,35,29,26,45,25,24,39,33
S01007123,17,32,33,32,60,33,27,47,59
S01007124,24,41,48,27,80,47,43,60,67
S01007125,22,26,31,19,59,40,29,50,89
S01007126,20,22,14,23,60,37,31,71,99
S01007127,20,40,40,19,67,38,39,79,101
S01007128,15,24,19,17,55,43,27,51,64
S01007129,54,176,69,38,37,22,20,17,38
S01007130,22,67,33,25,29,21,17,22,20
S01007131,31,100,50,45,31,28,13,20,18
S01007132,20,71,52,35,37,24,15,19,23
S01007133,47,77,42,28,49,20,18,21,33
S01007134,37,69,42,33,48,25,21,22,32
S01007135,27,89,37,10,38,22,15,13,15
S01007136,52,102,46,19,29,28,13,7,22
S01007137,49,130,79,42,26,23,29,24,30
S01007138,36,70,41,39,49,24,23,14,23
S01007139,28,73,52,31,69,31,23,18,23
S01007140,49,147,88,47,75,34,24,29,44
S01007141,72,156,92,47,86,53,41,32,38
S01007142,60,173,117,55,41,48,35,31,32
S01007143,39,96,53,34,28,22,21,21,24
S01007144,46,63,38,35,49,30,12,26,48
S01007145,26,94,77,25,39,39,24,21,28
S01007146,26,94,68,24,33,22,34,12,25
S01007147,16,66,46,32,41,32,23,20,23
S01007148,17,47,42,27,21,14,15,12,18
S01007149,10,52,40,23,18,14,11,17,23
S01007150,31,73,28,28,29,25,17,8,24
S01007151,54,168,115,46,54,40,50,27,45
S01007152,12,67,39,19,16,19,18,12,22
S01007153,20,70,42,39,33,21,27,23,22
S01007154,23,66,43,36,27,26,19,16,28
S01007155,16,83,36,26,38,24,23,12,16
S01007156,20,57,47,32,51,32,37,27,38
S01007157,15,66,53,39,39,37,16,27,37
S01007158,46,86,63,61,50,44,35,40,52
S01007159,29,100,106,52,81,65,49,41,74
S01007160,19,47,59,39,52,44,26,36,72
S01007161,24,43,53,29,38,37,26,30,36
S01007162,18,40,45,10,28,23,10,14,38
S01007163,26,83,55,36,51,45,29,34,34
S01007164,14,54,53,32,33,21,24,15,25
S01007165,16,94,57,28,34,28,23,14,22
S01007166,27,63,45,31,34,12,21,15,26
S01007167,30,66,53,47,35,22,19,18,21
S01007168,26,90,73,37,44,33,33,21,23
S01007169,27,65,43,41,34,30,24,17,26
S01007170,53,77,34,25,82,31,16,26,22
S01007171,69,116,106,64,103,60,41,74,74
S01007172,64,76,46,38,64,22,25,34,50
S01007173,18,80,68,49,66,54,36,47,46
S01007174,35,76,82,46,80,41,35,50,51
S01007175,17,53,48,26,52,40,25,22,41
S01007176,15,42,52,32,36,35,35,29,36
S01007177,10,26,36,18,33,25,33,25,35
S01007178,14,28,39,26,47,31,28,54,58
S01007179,22,58,62,43,41,19,24,26,22
S01007180,30,72,58,30,43,29,25,25,30
S01007181,28,64,42,24,39,18,26,20,17
S01007182,34,83,68,44,55,55,32,33,33
S01007183,21,61,81,53,62,68,41,60,56
S01007184,22,55,64,43,50,66,57,50,81
S01007185,24,41,47,30,45,45,34,35,60
S01007186,19,24,17,23,30,26,14,29,39
S01007187,21,24,37,24,67,44,36,55,52
S01007188,16,40,24,24,42,31,22,33,64
S01007189,18,44,39,18,48,35,31,41,58
S01007190,19,41,33,29,50,26,21,25,40
S01007191,7,23,27,12,28,23,22,35,39
S01007192,35,94,91,56,65,62,46,58,78
S01007193,15,24,26,27,49,41,35,44,60
S01007194,10,15,21,15,32,36,28,24,35
S01007195,18,20,34,13,38,28,24,33,33
S01007196,26,51,70,30,73,57,55,59,72
S01007197,16,18,27,10,33,25,26,34,52
S01007198,5,23,23,22,39,24,19,27,34
S01007199,13,15,22,24,24,22,27,27,66
S01007200,11,45,49,38,58,44,37,38,60
S01007201,9,32,41,27,46,29,29,26,29
S01007202,22,28,32,29,37,39,28,43,53
S01007203,9,25,27,19,29,24,24,29,39
S01007204,49,93,58,39,50,31,17,41,46
S01007205,29,60,44,21,41,23,12,24,34
S01007206,10,37,18,14,26,16,15,14,22
S01007207,16,58,48,32,51,38,33,36,55
S01007208,17,49,56,40,57,67,55,55,96
S01007209,24,54,55,27,43,23,29,29,34
S01007210,18,38,34,13,44,24,27,25,69
S01007211,19,43,58,25,46,43,40,45,73
S01007212,11,30,21,29,16,19,18,12,23
S01007213,20,82,48,37,44,48,19,32,37
S01007214,15,21,22,28,33,33,26,26,53
S01007215,19,25,26,16,23,25,15,21,37
S01007216,33,68,52,31,51,33,34,32,46
S01007217,26,45,47,35,62,64,30,53,51
S01007218,37,71,56,30,38,35,23,28,34
S01007219,23,28,41,41,49,36,22,34,46
S01007220,14,31,44,31,52,42,42,42,57
S01007221,25,83,69,42,57,40,29,55,45
S01007222,13,39,28,28,36,27,30,31,42
S01007223,24,79,43,28,33,22,11,25,18
S01007224,30,56,27,24,35,26,23,24,23
S01007225,53,83,50,27,83,24,31,35,41
S01007226,31,70,45,33,61,22,24,29,35
S01007227,34,72,59,37,71,44,31,36,50
S01007228,41,59,21,25,48,19,12,9,38
S01007229,66,117,71,39,117,54,33,48,73
S01007230,20,23,33,26,56,37,26,33,57
S01007231,22,22,41,22,54,41,26,39,61
S01007232,12,31,31,23,53,37,26,42,63
S01007233,20,42,27,31,44,23,29,38,47
S01007234,14,38,32,17,40,26,24,32,37
S01007235,22,63,53,22,44,33,20,36,52
S01007236,12,38,37,34,47,46,22,37,42
S01007237,19,47,38,24,40,31,24,28,42
S01007238,23,44,42,45,48,41,33,46,58
S01007239,32,97,62,45,41,35,21,26,27
S01007240,34,57,44,36,57,19,19,31,26
S01007241,35,59,53,25,57,30,21,24,32
S01007242,40,76,63,39,59,41,41,37,21
S01007243,25,70,52,23,43,26,16,31,25
S01007244,45,69,55,21,56,33,19,29,33
S01007245,41,49,44,24,53,23,27,36,32
S01007246,25,77,60,46,72,37,31,39,53
S01007247,31,68,41,35,52,28,14,33,30
S01007248,29,86,40,37,44,15,20,19,20
S01007249,27,40,33,26,25,16,19,14,15
S01007250,32,46,44,37,66,26,29,35,53
S01007251,14,28,22,28,38,24,24,28,34
S01007252,12,45,49,43,48,42,30,40,50
S01007253,58,117,108,63,85,52,40,48,56
S01007254,14,34,39,28,43,30,24,31,39
S01007255,17,29,29,27,36,42,30,41,61
S01007256,16,30,43,31,50,42,41,43,62
S01007257,19,22,29,13,33,32,31,34,44
S01007258,18,48,47,20,48,37,25,29,38
S01007259,21,44,34,35,45,53,35,47,67
S01007260,14,33,33,29,41,48,39,57,73
S01007261,34,68,70,39,34,35,24,40,48
S01007262,8,41,34,36,53,45,34,50,48
S01007263,10,38,47,35,35,24,37,32,36
S01007264,13,66,39,34,38,33,24,28,39
S01007265,25,61,52,38,52,41,32,45,71
S01007266,18,66,52,24,49,24,23,27,42
S01007267,30,80,30,25,41,21,14,27,27
S01007268,34,65,37,30,55,18,9,27,30
S01007269,15,30,17,16,41,23,9,16,24
S01007270,39,56,38,25,59,18,15,22,31
S01007271,32,90,73,38,53,41,23,45,44
S01007272,24,34,44,34,41,57,33,47,55
S01007273,19,46,39,40,41,35,13,19,29
S01007274,25,64,45,27,54,40,24,39,43
S01007275,22,59,38,22,37,20,20,14,24
S01007276,23,84,56,58,69,38,20,43,54
S01007277,19,77,45,39,45,27,8,29,28
S01007278,11,59,34,23,30,20,12,18,16
S01007279,37,76,30,20,65,17,6,14,31
S01007280,38,45,30,26,48,19,17,24,37
S01007281,57,71,71,48,88,40,29,25,49
S01007282,24,50,30,20,84,20,11,26,32
S01007283,45,72,48,28,58,25,20,26,43
S01007284,49,76,48,37,84,35,30,36,48
S01007285,52,79,54,33,113,61,23,42,48
S01007286,65,75,54,43,96,50,46,57,74
S01007287,49,44,46,21,94,41,18,20,39
S01007288,47,44,28,12,59,42,11,21,42
S01007289,39,106,48,41,56,33,35,31,37
S01007290,38,69,32,59,83,62,37,47,84
S01007291,13,47,34,24,45,26,29,35,46
S01007292,34,53,34,31,53,31,26,39,38
S01007293,28,21,17,16,65,49,41,44,83
S01007294,23,72,36,46,77,54,43,38,55
S01007295,18,13,15,12,44,27,24,27,33
S01007296,34,50,35,40,48,30,35,20,29
S01007297,54,105,66,38,68,37,34,37,42
S01007298,17,39,27,29,45,28,27,29,36
S01007299,18,52,41,40,67,28,41,41,58
S01007300,18,24,19,11,40,38,21,29,46
S01007301,67,106,58,63,84,70,40,53,87
S01007302,27,34,31,31,46,33,22,41,50
S01007303,59,99,75,61,91,44,26,40,47
S01007304,45,53,35,34,80,35,20,26,45
S01007305,54,80,37,28,47,33,19,39,35
S01007306,29,66,65,36,66,34,29,31,41
S01007307,63,77,76,34,80,33,24,36,40
S01007308,76,55,44,40,72,37,24,36,73
S01007309,59,64,32,42,52,26,26,17,49
S01007310,34,74,49,30,58,39,25,23,31
S01007311,38,41,24,28,55,49,37,34,71
S01007312,32,66,49,35,56,34,17,28,46
S01007313,61,116,73,36,125,28,27,29,63
S01007314,40,71,41,27,51,36,13,21,36
S01007315,33,64,42,63,58,44,27,33,31
S01007316,25,56,39,37,62,36,39,33,58
S01007317,38,65,64,47,56,49,26,33,61
S01007318,16,41,25,26,50,17,13,30,35
S01007319,29,51,50,36,42,40,12,22,55
S01007320,51,74,55,45,65,23,15,25,45
S01007321,45,57,36,28,62,27,6,15,38
S01007322,30,44,42,34,63,35,35,35,53
S01007323,29,23,23,17,35,24,11,20,31
S01007324,30,27,16,26,44,27,6,21,19
S01007325,52,62,31,31,85,47,24,35,67
S01007326,55,58,38,48,106,58,29,79,75
S01007327,31,38,39,32,44,43,42,53,49
S01007328,29,35,29,28,55,38,23,38,55
S01007329,53,55,40,25,83,25,18,32,39
S01007330,37,32,35,29,58,35,8,17,33
S01007331,36,78,61,52,111,61,26,56,78
S01007332,22,35,27,14,69,21,10,9,31
S01007333,26,58,31,53,53,35,18,29,28
S01007334,11,17,22,23,16,31,21,21,34
S01007335,20,32,31,47,52,45,28,40,67
S01007336,21,20,33,28,31,22,13,22,38
S01007337,10,35,43,30,51,29,18,23,38
S01007338,14,19,38,41,56,44,32,42,51
S01007339,28,48,31,26,33,27,27,21,15
S01007340,9,22,28,21,39,26,16,23,21
S01007341,26,44,35,27,49,33,22,18,30
S01007342,43,68,27,23,28,21,19,20,21
S01007343,34,59,39,16,81,23,14,30,29
S01007344,25,25,31,11,18,23,11,13,22
S01007345,14,17,19,12,28,32,27,15,33
S01007346,12,15,24,18,24,28,21,13,30
S01007347,14,26,22,17,38,32,26,23,44
S01007348,9,32,18,18,36,40,27,21,33
S01007349,12,36,23,12,22,27,15,18,18
S01007350,14,22,21,18,23,25,15,20,20
S01007351,44,51,46,24,62,32,10,26,37
S01007352,29,52,32,20,55,15,8,11,33
S01007353,31,56,36,26,28,20,12,18,26
S01007354,37,74,45,22,35,22,27,13,19
S01007355,67,81,60,45,70,31,22,30,48
S01007356,27,67,28,15,47,20,15,8,28
S01007357,38,45,44,29,55,28,18,25,48
S01007358,43,85,61,32,52,36,15,31,94
S01007359,25,57,45,32,43,49,27,31,44
S01007360,26,45,21,18,24,23,21,8,15
S01007361,38,80,48,45,47,47,17,27,31
S01007362,23,44,35,36,39,50,26,16,38
S01007363,19,43,26,32,23,33,14,18,32
S01007364,18,33,27,28,38,52,41,16,55
S01007365,20,26,13,15,28,37,21,13,28
S01007366,9,25,24,10,26,32,15,14,30
S01007367,7,30,30,18,29,31,21,29,36
S01007368,11,24,19,23,25,36,27,21,37
S01007369,17,41,39,26,51,50,27,28,47
S01007370,19,50,27,39,40,49,27,23,40
S01007371,22,51,37,30,47,47,26,21,31
S01007372,41,67,48,28,42,40,25,22,36
S01007373,23,65,58,18,28,22,12,17,25
S01007374,20,38,38,22,21,20,11,15,24
S01007375,27,42,28,14,26,10,3,9,6
S01007376,14,34,41,34,42,43,23,28,51
S01007377,39,53,63,26,28,30,15,17,26
S01007378,43,64,231,47,37,17,20,13,27
S01007379,17,36,37,27,41,37,9,21,54
S01007380,24,40,34,26,39,40,20,16,37
S01007381,42,67,54,21,16,11,6,6,15
S01007382,32,82,41,28,25,19,14,13,24
S01007383,39,94,41,31,27,26,15,12,33
S01007384,47,73,75,22,44,54,25,15,52
S01007385,20,82,60,38,40,43,20,16,32
S01007386,46,105,54,27,18,26,23,15,23
S01007387,45,89,53,27,28,19,24,10,22
S01007388,34,72,45,30,24,26,15,15,19
S01007389,11,40,45,17,32,41,27,22,35
S01007390,26,30,58,25,22,25,24,15,44
S01007391,27,56,38,28,30,17,15,11,21
S01007392,23,64,24,13,14,9,11,8,15
S01007393,32,82,46,39,12,21,3,5,14
S01007394,27,71,46,22,25,20,13,8,26
S01007395,32,73,96,52,56,45,41,19,50
S01007396,24,47,48,36,31,41,30,24,44
S01007397,45,102,71,42,52,34,34,15,22
S01007398,17,38,25,26,38,48,37,16,69
S01007399,7,23,29,22,19,37,41,27,46
S01007400,41,62,53,34,25,29,23,14,31
S01007401,38,76,58,37,39,33,25,20,50
S01007402,19,71,48,37,35,40,20,14,21
S01007403,49,120,145,70,64,65,37,29,67
S01007404,40,66,44,25,40,19,18,6,23
S01007405,56,94,49,35,32,17,14,8,15
S01007406,32,88,62,28,20,16,20,15,26
S01007407,33,84,56,20,27,23,21,19,28
S01007408,27,39,36,25,31,25,21,8,31
S01007409,15,43,44,28,32,28,23,46,34
S01007410,15,23,19,22,40,36,32,35,47
S01007411,15,28,36,30,45,49,37,45,52
S01007412,13,22,23,25,23,21,19,20,34
S01007413,49,84,71,60,54,44,37,31,36
S01007414,43,87,61,40,42,32,26,24,33
S01007415,17,29,46,19,61,61,40,41,58
S01007416,3,10,23,15,25,32,14,29,46
S01007417,50,123,80,62,42,43,47,30,43
S01007418,13,35,44,25,30,33,25,42,50
S01007419,28,27,36,39,41,56,43,52,66
S01007420,55,95,93,41,61,39,26,32,87
S01007421,30,73,52,34,33,37,21,18,22
S01007422,27,62,33,27,22,32,19,13,26
S01007423,49,95,72,34,41,29,22,27,29
S01007424,28,65,52,37,33,31,18,19,30
S01007425,31,72,53,38,36,35,35,35,39
S01007426,21,46,63,40,59,38,51,28,51
S01007427,14,25,33,25,33,27,34,31,30
S01007428,25,54,44,48,41,43,44,43,50
S01007429,23,94,94,49,45,54,36,35,44
S01007430,11,32,23,9,16,19,10,17,17
S01007431,12,51,47,25,20,12,16,14,23
S01007432,41,61,77,40,50,47,31,29,32
S01007433,32,84,81,50,67,44,48,47,44
S01007434,9,20,20,17,24,29,15,22,29
S01007435,22,38,41,15,33,39,32,26,48
S01007436,13,36,28,31,32,24,26,30,51
S01007437,15,28,25,16,17,15,23,11,26
S01007438,15,35,31,24,34,26,26,18,51
S01007439,17,39,37,31,34,35,28,23,33
S01007440,21,33,42,19,33,36,28,29,39
S01007441,18,57,32,20,27,12,17,17,23
S01007442,26,43,32,14,20,14,12,11,11
S01007443,48,108,49,31,30,18,26,14,29
S01007444,74,161,67,31,31,32,23,15,30
S01007445,51,110,41,25,25,18,17,11,16
S01007446,42,73,27,15,15,11,9,7,23
S01007447,36,90,28,15,13,10,6,6,14
S01007448,50,81,61,53,82,39,37,42,42
S01007449,28,48,36,39,42,59,34,44,55
S01007450,9,30,34,24,38,49,38,33,39
S01007451,18,50,34,28,32,31,20,25,34
S01007452,52,131,99,56,105,84,50,53,67
S01007453,53,109,81,40,38,28,25,30,30
S01007454,19,26,27,24,33,28,18,35,35
S01007455,13,31,36,29,53,57,40,32,91
S01007456,13,28,32,20,36,53,41,40,79
S01007457,32,57,74,40,55,49,39,50,58
S01007458,8,45,39,32,32,28,15,17,16
S01007459,24,32,43,22,24,26,25,29,28
S01007460,14,35,37,24,33,45,29,28,48
S01007461,11,23,32,16,40,35,37,45,53
S01007462,23,52,54,41,52,45,48,31,54
S01007463,17,30,36,29,43,56,49,35,78
S01007464,8,23,24,16,15,44,40,37,67
S01007465,12,29,26,16,30,47,33,45,72
S01007466,20,36,44,32,50,51,55,52,96
S01007467,31,59,65,44,48,46,40,44,66
S01007468,23,29,33,35,44,32,30,27,27
S01007469,23,65,73,51,68,61,41,45,65
S01007470,24,38,33,22,28,29,27,31,42
S01007471,15,30,31,22,28,22,23,22,39
S01007472,7,25,39,19,34,46,21,40,45
S01007473,17,21,32,15,26,22,14,24,28
S01007474,19,47,40,22,31,28,15,19,25
S01007475,51,95,63,37,48,28,19,30,33
S01007476,33,64,58,33,44,38,19,28,45
S01007477,23,67,37,25,28,25,18,12,15
S01007478,39,100,86,52,55,37,34,37,49
S01007479,18,51,51,42,42,29,24,29,31
S01007480,27,57,49,45,56,38,38,37,42
S01007481,30,83,41,33,56,50,17,37,47
S01007482,8,16,10,20,22,20,22,19,27
S01007483,13,32,26,33,45,44,40,36,57
S01007484,12,25,20,12,36,37,23,21,31
S01007485,6,3,7,8,13,18,18,13,32
S01007486,11,13,16,13,41,51,21,25,43
S01007487,17,21,32,19,32,49,28,26,55
S01007488,31,62,52,35,57,69,42,59,72
S01007489,26,40,20,27,42,57,42,41,56
S01007490,15,33,42,29,54,58,56,46,64
S01007491,16,50,48,29,60,79,63,59,82
S01007492,6,26,32,21,30,30,26,28,46
S01007493,9,25,26,32,34,53,49,50,68
S01007494,22,28,14,18,45,25,17,26,32
S01007495,36,45,37,33,82,36,26,36,49
S01007496,33,46,28,24,75,27,19,32,44
S01007497,28,30,25,15,57,18,30,30,43
S01007498,22,33,23,28,46,38,23,41,62
S01007499,30,40,30,15,81,49,22,58,53
S01007500,19,25,15,12,42,18,9,14,38
S01007501,22,39,23,19,55,25,13,18,31
S01007502,21,24,17,10,49,16,21,13,20
S01007503,32,56,26,31,99,42,31,55,48
S01007504,27,50,19,23,74,26,14,20,37
S01007505,16,21,18,9,31,14,13,14,42
S01007506,41,33,23,18,53,18,14,17,35
S01007507,28,38,26,23,50,42,39,35,49
S01007508,32,45,20,16,67,25,9,19,44
S01007509,23,35,16,20,77,21,17,27,41
S01007510,30,53,24,22,86,47,14,32,54
S01007511,13,22,20,14,46,56,19,30,58
S01007512,29,19,10,12,60,22,6,19,27
S01007513,18,51,38,28,58,77,21,46,75
S01007514,16,24,21,20,52,39,20,24,53
S01007515,31,60,30,41,42,35,20,13,41
S01007516,12,16,17,17,54,50,18,24,46
S01007517,17,27,17,13,30,13,8,10,15
S01007518,19,27,23,25,65,47,20,31,61
S01007519,24,20,13,14,40,7,5,6,23
S01007520,42,56,31,29,73,45,31,38,82
S01007521,26,31,23,16,45,17,12,17,37
S01007522,38,49,44,27,58,35,21,25,64
S01007523,31,49,24,23,53,22,20,26,29
S01007524,64,59,42,38,82,28,30,29,81
S01007525,8,35,22,18,48,56,19,35,35
S01007526,22,27,25,17,40,30,30,30,34
S01007527,25,57,34,29,47,41,25,37,45
S01007528,27,36,39,17,66,34,12,26,41
S01007529,26,50,32,18,39,19,16,17,24
S01007530,34,34,20,30,59,31,20,14,23
S01007531,33,50,33,16,58,23,28,32,31
S01007532,27,40,26,23,41,26,16,17,31
S01007533,29,27,19,13,45,22,10,15,18
S01007534,24,58,42,38,59,41,36,50,69
S01007535,29,59,42,41,48,34,40,26,65
S01007536,24,66,46,43,76,51,51,49,82
S01007537,27,80,48,43,63,54,35,40,66
S01007538,43,88,54,34,80,31,26,43,43
S01007539,15,50,39,38,32,26,10,26,41
S01007540,24,61,36,27,59,40,39,35,48
S01007541,20,61,37,29,52,44,32,37,34
S01007542,23,47,27,35,79,49,41,40,52
S01007543,25,52,38,35,73,69,58,66,61
S01007544,57,88,48,31,69,25,12,25,40
S01007545,42,64,45,36,65,34,26,35,43
S01007546,28,57,29,16,55,31,15,16,32
S01007547,31,65,29,28,76,26,21,17,31
S01007548,28,52,42,28,55,33,19,39,46
S01007549,32,61,39,26,78,21,25,28,34
S01007550,35,64,51,31,60,41,21,23,45
S01007551,41,53,52,25,81,23,14,13,34
S01007552,22,33,29,34,78,41,28,83,58
S01007553,11,25,20,29,37,42,23,66,43
S01007554,6,13,12,12,12,22,12,31,23
S01007555,27,30,18,24,36,33,15,23,37
S01007556,14,13,15,21,36,28,12,29,26
S01007557,23,55,35,38,63,58,27,95,71
S01007558,23,40,17,11,50,19,13,15,24
S01007559,39,67,42,19,72,27,20,18,42
S01007560,29,67,54,37,46,50,34,37,46
S01007561,27,39,26,26,42,34,19,27,33
S01007562,42,66,44,25,77,27,14,28,50
S01007563,36,79,47,28,61,23,14,23,30
S01007564,29,76,43,27,62,27,17,20,41
S01007565,41,82,52,36,81,50,35,50,57
S01007566,29,41,20,28,62,25,14,28,43
S01007567,29,43,35,22,79,28,17,26,38
S01007568,42,61,30,28,53,32,21,32,32
S01007569,36,71,37,39,66,38,15,42,42
S01007570,37,87,60,32,73,64,51,39,47
S01007571,22,50,32,29,55,23,12,13,32
S01007572,33,100,54,51,65,55,42,41,61
S01007573,38,111,74,51,46,61,42,50,54
S01007574,16,37,25,44,52,80,49,48,84
S01007575,4,40,19,22,38,49,29,34,52
S01007576,9,15,14,9,16,41,34,31,53
S01007577,16,19,25,19,31,49,37,24,60
S01007578,13,21,21,22,43,45,41,32,38
S01007579,8,13,22,20,27,42,34,50,55
S01007580,10,23,21,18,32,53,35,51,70
S01007581,7,11,15,19,41,44,28,22,41
S01007582,12,25,20,19,23,49,32,39,61
S01007583,18,26,25,23,41,46,65,39,108
S01007584,14,36,22,23,35,42,45,32,39
S01007585,27,77,57,40,61,53,41,41,38
S01007586,12,55,29,40,32,55,36,43,60
S01007587,24,70,42,28,34,35,26,19,44
S01007588,44,110,50,25,42,27,27,16,30
S01007589,24,88,46,18,31,48,23,25,50
S01007590,25,86,42,27,36,22,18,18,21
S01007591,17,55,26,16,24,33,20,31,20
S01007592,16,39,26,25,35,41,42,43,46
S01007593,33,83,50,37,78,71,40,35,52
S01007594,32,97,45,32,63,46,24,34,29
S01007595,38,93,41,29,104,50,30,40,67
S01007596,23,25,27,19,41,14,10,20,25
S01007597,25,56,32,25,50,29,17,16,33
S01007598,32,54,23,27,40,28,20,30,27
S01007599,22,81,42,32,54,49,27,39,59
S01007600,24,124,52,43,48,34,29,41,42
S01007601,29,61,43,45,41,42,28,24,45
S01007602,13,52,31,43,32,29,22,27,29
S01007603,35,80,56,42,38,28,28,37,25
S01007604,27,65,46,41,36,33,48,33,19
S01007605,28,71,45,52,50,43,35,41,38
S01007606,15,64,28,31,35,31,18,31,31
S01007607,17,49,42,36,34,30,27,20,17
S01007608,24,73,52,35,48,47,35,43,33
S01007609,22,58,34,34,51,77,48,53,70
S01007610,15,55,32,16,27,27,15,29,32
S01007611,13,45,33,32,38,38,43,55,44
S01007612,55,79,61,40,69,78,55,63,95
S01007613,40,80,49,23,23,37,27,18,27
S01007614,45,138,66,41,40,31,40,18,31
S01007615,43,105,76,51,55,48,37,50,50
S01007616,18,32,39,24,31,43,32,31,49
S01007617,9,26,18,12,24,34,28,29,32
S01007618,5,18,23,31,37,42,31,29,35
S01007619,12,34,17,24,28,49,34,49,60
S01007620,22,49,28,26,42,24,9,37,19
S01007621,13,45,29,32,47,33,22,34,30
S01007622,11,31,20,22,22,30,28,25,37
S01007623,25,52,35,26,33,24,18,24,34
S01007624,22,57,40,37,44,26,25,38,33
S01007625,14,46,27,35,31,24,10,24,18
S01007626,23,84,44,39,45,36,31,33,30
S01007627,99,337,185,114,129,106,77,93,75
S01007628,31,60,35,38,43,20,16,23,23
S01007629,39,69,44,20,53,38,22,28,27
S01007630,41,90,45,30,82,41,25,47,57
S01007631,37,44,27,31,60,14,12,26,39
S01007632,30,58,43,34,61,46,27,35,38
S01007633,22,51,43,43,82,63,39,48,63
S01007634,37,67,46,30,71,18,28,37,28
S01007635,21,48,20,30,33,19,13,39,28
S01007636,21,55,36,36,76,48,54,58,42
S01007637,16,52,47,41,79,64,49,55,66
S01007638,15,47,57,35,60,48,28,58,47
S01007639,31,46,30,30,56,49,30,67,93
S01007640,24,54,24,26,66,24,19,34,43
S01007641,48,73,41,27,72,37,29,35,50
S01007642,48,72,40,35,40,29,25,28,54
S01007643,39,69,33,40,47,37,34,27,44
S01007644,30,56,45,25,41,31,20,31,52
S01007645,36,48,18,16,46,15,11,20,25
S01007646,27,39,33,22,59,21,9,12,36
S01007647,29,58,32,30,41,25,18,32,43
S01007648,27,57,54,42,39,25,32,29,62
S01007649,16,38,30,35,62,46,21,56,58
S01007650,33,51,31,45,67,32,27,47,57
S01007651,36,36,22,33,77,28,21,31,42
S01007652,22,29,24,24,61,30,17,31,47
S01007653,35,58,41,33,76,33,27,42,33
S01007654,44,53,41,54,88,47,37,70,85
S01007655,32,42,36,31,95,23,25,40,52
S01007656,30,44,34,32,86,41,15,41,54
S01007657,31,40,21,18,46,11,9,14,16
S01007658,13,39,17,21,46,22,12,23,30
S01007659,40,58,32,32,62,36,21,52,64
S01007660,15,26,35,19,46,51,23,54,62
S01007661,20,43,41,29,45,36,21,43,52
S01007662,27,62,40,35,62,53,28,57,42
S01007663,23,56,39,46,47,32,25,39,64
