Intermediate Zone - Data Zone 2011,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Owned: Shared Equity (e.g. LIFT or Help-to-Buy),Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,Private rented,Lives Rent Free
S01007092,98,68,0,2,115,19,7
S01007093,231,113,0,4,26,29,7
S01007094,215,105,0,3,19,15,4
S01007095,116,81,0,0,5,17,4
S01007096,141,169,0,4,28,18,4
S01007097,235,495,1,29,89,46,9
S01007098,176,204,0,5,5,23,7
S01007099,145,163,0,0,34,13,5
S01007100,146,98,0,1,31,23,6
S01007101,99,70,0,0,152,16,2
S01007102,141,92,2,0,16,34,11
S01007103,186,92,1,0,65,11,7
S01007104,136,91,0,3,7,11,4
S01007105,119,58,0,4,38,26,2
S01007106,164,79,1,1,49,13,2
S01007107,168,106,1,2,6,18,9
S01007108,193,256,0,8,10,40,6
S01007109,126,91,0,0,144,14,3
S01007110,117,104,0,0,91,25,6
S01007111,113,55,0,3,41,13,8
S01007112,138,67,1,0,4,17,1
S01007113,121,75,0,0,17,25,3
S01007114,189,128,0,4,41,16,6
S01007115,136,69,0,0,30,11,5
S01007116,161,145,0,0,5,8,4
S01007117,122,51,0,0,5,3,4
S01007118,73,45,1,2,130,33,3
S01007119,83,71,0,1,141,22,1
S01007120,119,76,0,2,224,65,14
S01007121,65,44,0,5,150,58,0
S01007122,106,69,0,1,86,29,4
S01007123,117,87,0,2,93,40,7
S01007124,153,105,0,0,83,41,6
S01007125,177,61,0,2,118,34,5
S01007126,73,48,0,4,265,40,3
S01007127,76,62,3,4,264,106,8
S01007128,114,48,0,3,200,34,9
S01007129,194,142,0,2,5,29,4
S01007130,149,90,0,1,17,21,3
S01007131,170,116,0,0,40,15,7
S01007132,180,95,0,0,5,17,2
S01007133,120,94,1,0,8,37,3
S01007134,139,86,0,0,36,24,10
S01007135,114,76,0,0,5,7,6
S01007136,101,91,0,0,0,18,4
S01007137,64,167,1,0,1,11,0
S01007138,130,91,0,0,6,22,0
S01007139,138,118,0,0,22,13,6
S01007140,208,164,2,5,29,50,8
S01007141,163,188,0,1,53,25,18
S01007142,79,221,0,20,16,8,0
S01007143,56,138,0,1,1,13,0
S01007144,333,56,0,0,11,52,13
S01007145,273,113,0,2,44,33,7
S01007146,150,115,1,0,32,24,4
S01007147,181,86,0,0,18,21,2
S01007148,120,77,0,0,2,5,4
S01007149,143,67,0,0,3,15,7
S01007150,246,82,1,0,17,21,6
S01007151,232,205,0,1,33,17,5
S01007152,127,71,0,0,15,18,5
S01007153,154,99,0,0,36,11,4
S01007154,187,89,16,7,87,74,5
S01007155,141,96,0,1,38,32,5
S01007156,153,87,0,2,33,38,9
S01007157,78,101,2,0,58,38,6
S01007158,146,156,1,2,31,34,4
S01007159,154,188,2,11,123,104,8
S01007160,129,120,0,1,112,38,0
S01007161,130,104,0,1,63,40,5
S01007162,69,48,0,1,94,59,3
S01007163,200,121,1,3,59,24,4
S01007164,125,85,1,3,37,31,2
S01007165,180,98,0,1,19,33,2
S01007166,156,88,0,0,36,31,6
S01007167,197,106,0,3,9,11,5
S01007168,241,136,0,0,3,8,9
S01007169,159,86,0,0,44,30,1
S01007170,145,92,2,1,4,51,11
S01007171,183,211,3,8,68,57,19
S01007172,273,111,0,0,4,55,15
S01007173,143,145,0,2,14,31,3
S01007174,137,139,1,2,93,17,1
S01007175,141,97,0,2,35,27,6
S01007176,118,66,0,0,54,50,5
S01007177,92,64,0,0,107,18,3
S01007178,99,76,3,10,191,28,3
S01007179,251,98,1,2,15,14,4
S01007180,216,90,0,0,41,17,4
S01007181,172,77,0,0,3,28,8
S01007182,216,124,0,1,73,81,1
S01007183,191,139,2,3,136,91,9
S01007184,164,120,2,3,171,134,7
S01007185,107,67,0,0,172,86,9
S01007186,48,37,0,0,168,68,8
S01007187,71,53,1,0,184,134,4
S01007188,93,59,0,2,75,96,6
S01007189,124,62,0,2,211,70,5
S01007190,190,83,0,1,61,39,2
S01007191,88,49,0,2,58,14,1
